version;reserved0;flags;invalidLlh;iTOW;lon;lat;height;hMSL;lonHp;latHp;heightHp;hMSLHp;hAcc;vAcc
0;0;('X001', {'invalidLlh': 'U001'});0;220016000;14.190920589;40.828870991;82696.3;41420.6;-11;-9;3;-4;129.7;183.7
0;0;('X001', {'invalidLlh': 'U001'});0;220017000;14.190920647;40.828870837;82757.1;41481.5;47;37;1;-5;127.7;180.9
0;0;('X001', {'invalidLlh': 'U001'});0;220018000;14.190920734;40.828870649;82809.2;41533.6;34;49;2;-4;125.9;178.4
0;0;('X001', {'invalidLlh': 'U001'});0;220019000;14.190920805;40.828870464;82856.0;41580.4;5;-36;0;4;124.2;175.9
0;0;('X001', {'invalidLlh': 'U001'});0;220020000;14.19092086;40.828870322;82895.0;41619.4;-40;22;0;4;122.6;173.5
0;0;('X001', {'invalidLlh': 'U001'});0;220021000;14.190920907;40.828870201;82929.9;41654.3;7;1;-1;3;121.1;171.2
0;0;('X001', {'invalidLlh': 'U001'});0;220022000;14.190920927;40.828870074;82958.5;41682.9;27;-26;-5;-1;119.7;169.2
0;0;('X001', {'invalidLlh': 'U001'});0;220023000;14.190920973;40.828870011;82983.3;41707.7;-27;11;3;-3;118.2;166.6
0;0;('X001', {'invalidLlh': 'U001'});0;220024000;14.19092099;40.82886991;83005.1;41729.5;-10;10;1;-5;116.7;164.2
0;0;('X001', {'invalidLlh': 'U001'});0;220025000;14.190920964;40.828869788;83025.1;41749.5;-36;-12;1;5;115.3;162.2
0;0;('X001', {'invalidLlh': 'U001'});0;220026000;14.19092095;40.8288697;83043.1;41767.4;50;0;1;4;114.1;160.9
0;0;('X001', {'invalidLlh': 'U001'});0;220027000;14.190920936;40.828869719;83140.2;41864.6;36;19;2;-4;110.5;155.4
0;0;('X001', {'invalidLlh': 'U001'});0;220028000;14.190920989;40.82886978;83283.4;42007.7;-11;-20;4;-3;108.4;153.0
0;0;('X001', {'invalidLlh': 'U001'});0;220029000;14.190921087;40.828869821;83439.1;42163.5;-13;21;1;-5;107.5;152.0
0;0;('X001', {'invalidLlh': 'U001'});0;220030000;14.190921174;40.828869858;83598.0;42322.3;-26;-42;0;3;106.4;150.7
0;0;('X001', {'invalidLlh': 'U001'});0;220031000;14.19092126;40.828869903;83735.9;42460.2;-40;3;-1;2;105.3;149.3
0;0;('X001', {'invalidLlh': 'U001'});0;220032000;14.190921362;40.828869945;83852.7;42577.1;-38;45;-3;1;104.2;147.7
0;0;('X001', {'invalidLlh': 'U001'});0;220033000;14.190921469;40.828869904;83949.4;42673.7;-31;4;4;-3;103.4;146.4
0;0;('X001', {'invalidLlh': 'U001'});0;220034000;14.190921579;40.828869829;84023.8;42748.2;-21;29;-2;2;102.7;145.2
0;0;('X001', {'invalidLlh': 'U001'});0;220035000;14.190921668;40.828869738;84071.5;42795.8;-32;38;5;-2;102.1;143.6
0;0;('X001', {'invalidLlh': 'U001'});0;220036000;14.19092172;40.828869649;84097.4;42821.8;20;49;4;-2;101.4;142.1
0;0;('X001', {'invalidLlh': 'U001'});0;220037000;14.190921745;40.828869558;84099.9;42824.2;45;-42;-1;2;100.3;140.7
0;0;('X001', {'invalidLlh': 'U001'});0;220038000;14.190921765;40.828869503;84090.4;42814.8;-35;3;4;-2;99.2;139.2
0;0;('X001', {'invalidLlh': 'U001'});0;220039000;14.1909218;40.828869465;84075.3;42799.6;0;-35;3;-4;98.4;137.9
0;0;('X001', {'invalidLlh': 'U001'});0;220040000;14.190921809;40.828869553;84063.9;42788.3;9;-47;-1;3;97.5;136.6
0;0;('X001', {'invalidLlh': 'U001'});0;220041000;14.190921811;40.82886973;84040.4;42764.8;11;30;4;-2;96.5;135.4
0;0;('X001', {'invalidLlh': 'U001'});0;220042000;14.19092184;40.828869963;84005.5;42729.9;40;-37;-5;-1;96.1;135.0
0;0;('X001', {'invalidLlh': 'U001'});0;220043000;14.19092187;40.828870235;83965.0;42689.4;-30;35;0;4;95.5;134.6
0;0;('X001', {'invalidLlh': 'U001'});0;220044000;14.190921881;40.828870485;83922.8;42647.2;-19;-15;-2;2;94.3;133.8
0;0;('X001', {'invalidLlh': 'U001'});0;220045000;14.190921933;40.828870775;83907.5;42631.9;33;-25;-5;-1;93.4;133.1
0;0;('X001', {'invalidLlh': 'U001'});0;220046000;14.190921956;40.828870957;83888.5;42612.9;-44;-43;5;-1;92.5;131.4
0;0;('X001', {'invalidLlh': 'U001'});0;220047000;14.190921933;40.828871129;83851.9;42576.2;33;29;-1;2;91.9;130.0
0;0;('X001', {'invalidLlh': 'U001'});0;220048000;14.190921917;40.828871292;83814.6;42539.0;17;-8;-4;0;91.5;129.0
