Timestamp;Longitude;Latitude;Height
220351000;14.190921205;40.82887626;85498.3
220352000;14.190921205;40.828876198;85496.7
220353000;14.190921216;40.82887615;85495.5
220354000;14.190921236;40.828876122;85484.1
220355000;14.190921267;40.828876101;85468.9
220356000;14.190921297;40.828876071;85454.1
220357000;14.190921182;40.828876041;85464.8
220358000;14.19092114;40.828876065;85458.7
220359000;14.190921135;40.82887614;85448.2
220360000;14.190921156;40.828876176;85448.0
220361000;14.190921191;40.828876184;85455.0
220362000;14.190921229;40.828876191;85455.9
220363000;14.190921246;40.828876205;85450.8
220364000;14.190921278;40.828876228;85441.3
220365000;14.190921305;40.828876257;85435.4
220366000;14.190921331;40.828876272;85431.6
220367000;14.190921352;40.828876281;85428.2
220368000;14.190921376;40.828876244;85424.3
220369000;14.190921392;40.828876204;85420.1
220370000;14.190921446;40.828876163;85407.5
220371000;14.190921487;40.828876139;85396.0
220372000;14.190921503;40.82887613;85383.6
220373000;14.19092152;40.828876103;85373.6
220374000;14.190921538;40.82887607;85363.0
220375000;14.190921578;40.828876045;85352.6
220376000;14.190921588;40.828876016;85337.4
220377000;14.190921603;40.828875979;85326.5
220378000;14.190921622;40.828875922;85315.5
220379000;14.190921647;40.828875885;85307.6
220380000;14.190921652;40.828875842;85294.7
220381000;14.190921697;40.828875827;85279.6
220382000;14.190921707;40.828875817;85259.2
220383000;14.190921728;40.82887577;85242.8
220384000;14.190921727;40.828875711;85229.6
220385000;14.19092173;40.828875639;85216.5
220386000;14.190921662;40.828875671;85188.2
220387000;14.190921639;40.828875696;85191.4
220388000;14.190921669;40.828875734;85201.9
220389000;14.190921697;40.828875776;85213.5
220390000;14.190921756;40.828875804;85222.7
220391000;14.190921796;40.828875838;85238.9
220392000;14.190921836;40.828875888;85253.4
220393000;14.190921882;40.828875918;85262.6
220394000;14.19092193;40.828875907;85271.1
220395000;14.190921991;40.828875931;85274.6
220396000;14.190922032;40.82887595;85269.8
220397000;14.190922065;40.828875956;85268.7
220398000;14.190922084;40.828875985;85266.9
220399000;14.190922105;40.828876016;85263.9
220400000;14.190922161;40.828876003;85262.9
220401000;14.190922195;40.828875974;85263.3
220402000;14.190922253;40.828875953;85261.7
220403000;14.190922296;40.828875947;85259.6
220404000;14.190922359;40.82887595;85257.1
220405000;14.190922411;40.828875976;85249.5
220406000;14.190922464;40.828876006;85244.6
220407000;14.190922538;40.828876017;85239.9
220408000;14.190922592;40.828876014;85231.9
220409000;14.190922628;40.828876016;85224.1
220410000;14.190922664;40.828875994;85219.1
220411000;14.190922726;40.828875964;85208.9
220412000;14.190922758;40.828875951;85204.5
220413000;14.190922785;40.828875942;85198.7
220414000;14.190922799;40.828875926;85194.4
220415000;14.19092281;40.828875942;85182.6
220416000;14.19092281;40.828875963;85175.8
220417000;14.190922808;40.82887602;85206.5
220418000;14.190922847;40.828876056;85233.6
220419000;14.190922899;40.828876073;85252.5
220420000;14.190922944;40.828876123;85261.4
220421000;14.190923;40.828876162;85272.0
220422000;14.190923053;40.828876214;85283.7
220423000;14.190923105;40.828876266;85299.5
220424000;14.19092315;40.8288763;85314.8
220425000;14.1909232;40.828876265;85325.8
220426000;14.190923242;40.828876251;85332.8
220427000;14.190923294;40.828876276;85336.1
220428000;14.190923324;40.828876297;85340.4
220429000;14.190923341;40.828876345;85353.1
220430000;14.190923397;40.828876372;85364.7
220431000;14.190923455;40.828876381;85372.8
220432000;14.190923498;40.828876394;85378.5
220433000;14.190923511;40.828876401;85379.9
220434000;14.190923539;40.828876401;85386.7
220435000;14.190923572;40.828876383;85400.5
220436000;14.190923615;40.828876344;85410.3
220437000;14.190923646;40.828876327;85412.7
220438000;14.190923664;40.828876327;85416.8
220439000;14.190923668;40.828876316;85425.4
220440000;14.190923674;40.828876275;85432.8
220441000;14.190923681;40.828876225;85442.5
220442000;14.190923677;40.828876202;85452.2
220443000;14.190923681;40.828876175;85449.7
220444000;14.190923682;40.828876175;85443.8
220445000;14.190923695;40.828876164;85437.8
220446000;14.190923533;40.828876174;85426.8
220446688;14.190923484;40.828876183;85423.1
220447000;14.190923484;40.828876183;85423.1
220447500;14.191014064;40.828839571;93510.2
220448000;14.19097452;40.828864688;89263.0
220449000;14.190964727;40.828859368;85486.1
220450000;14.190975798;40.828847215;86912.6
220451000;14.190958697;40.828857614;84720.8
220452000;14.190950766;40.828862397;83342.4
220453000;14.190946942;40.828864218;82112.1
220454000;14.19094437;40.828865543;81102.1
220455000;14.190942611;40.828866568;80316.1
220456000;14.190941224;40.828867245;79680.0
220457000;14.19094004;40.828867805;79148.8
220458000;14.190939091;40.828868287;78697.7
220459000;14.190938187;40.828868737;78330.1
220460000;14.190937278;40.828869182;77981.0
220461000;14.190936456;40.828869468;77657.3
220462000;14.190935757;40.828869788;77377.9
220463000;14.190935032;40.828870152;77125.5
220464000;14.190934283;40.828870562;76925.8
220465000;14.190933614;40.828870913;76748.1
220466000;14.190932944;40.828871269;76584.7
220467000;14.190932428;40.828871396;76461.8
220468000;14.190931808;40.828871699;76326.4
220469000;14.190931517;40.82887181;76265.8
220470000;14.190930979;40.828872008;76159.8
220471000;14.19093078;40.828871966;76116.0
220472000;14.190930294;40.82887215;76021.1
220473000;14.190930101;40.828872174;75994.3
220474000;14.190929748;40.828872333;75928.6
220475000;14.190929675;40.828872312;75913.5
220476000;14.190929381;40.828872443;75861.1
220477000;14.19092576;40.828879208;75166.4
220478000;14.190922257;40.828880272;78849.4
220479000;14.190921611;40.828880437;80509.2
220480000;14.190921078;40.828879893;81743.1
220481000;14.190920813;40.828879469;82439.2
220482000;14.190920717;40.828879108;82947.6
220483000;14.19092075;40.828878681;83292.6
220484000;14.190920885;40.828878147;83580.4
220485000;14.19092098;40.828877706;83816.1
220486000;14.190921044;40.828877349;84015.8
220487000;14.190921099;40.828877056;84176.9
220488000;14.190921177;40.82887677;84302.6
220489000;14.1909213;40.828876484;84390.5
220490000;14.190921429;40.828876178;84458.8
220491000;14.190921512;40.828875892;84510.0
220492000;14.190921569;40.828875648;84548.7
220493000;14.190921628;40.828875422;84571.5
220494000;14.190921678;40.828875192;84584.9
220495000;14.190921719;40.828874957;84586.6
220496000;14.19092176;40.828874749;84583.9
220497000;14.190921819;40.82887451;84584.1
220498000;14.190921835;40.828874213;84575.4
220499000;14.190921838;40.828873874;84563.0
220500000;14.190921845;40.828873493;84556.4
220501000;14.190921849;40.828873132;84551.6
220502000;14.190921841;40.82887279;84541.8
220503000;14.190921824;40.828872456;84534.5
220504000;14.190921832;40.828872081;84518.8
220505000;14.190921804;40.828871725;84502.0
220506000;14.190921744;40.82887134;84468.4
220507000;14.190921628;40.828871184;84506.3
220508000;14.190921499;40.828871174;84563.3
220509000;14.190921385;40.828871264;84625.8
220510000;14.190921276;40.828871375;84686.9
220511000;14.190921204;40.828871456;84747.6
220512000;14.190921155;40.828871539;84799.5
220513000;14.190921097;40.828871574;84836.3
220514000;14.190921039;40.828871599;84859.0
220515000;14.190920981;40.828871659;84880.1
220516000;14.190920938;40.828871701;84898.6
220517000;14.190920891;40.828871777;84913.0
220518000;14.19092085;40.828871889;84918.3
220519000;14.190921364;40.828874622;85405.0
220520000;14.190921411;40.828874621;85422.5
220521000;14.190921429;40.828874616;85425.3
